139402     54937     403030     402631
139167     54612     402276     403945
139076     54236     401460     405228
139096     53756     400669     406479
138920     53357     399945     407778
138825     53066     399044     409065
138865     52746     398058     410331
138975     52440     396981     411604
138873     52072     396193     412862
138871     51719     395314     414096
139099     51371     394148     415382
139136     50956     393194     416714
139277     50492     392374     417857
139266     50202     391458     419074
139437     49970     390346     420247
139492     49598     389460     421450
139533     49342     388415     422710
139694     49082     387346     423878
139901     48789     386279     425031
139936     48508     385300     426256
140104     48344     384160     427392
140133     48116     383176     428575
140369     47893     382012     429726
140521     47605     381000     430874
140629     47414     379903     432054
140881     47076     378786     433257
140808     47048     377759     434385
141146     46738     376614     435502
141167     46600     375596     436637
141350     46512     374391     437747
141504     46204     373423     438869
141745     45985     372236     440034
141880     45888     371052     441180
142014     45643     370008     442335
142138     45589     368862     443411
142335     45399     367746     444520
142495     45213     366596     445696
142536     45025     365638     446801
142658     44897     364564     447881
142857     44819     363414     448910
143097     44661     362221     450021
143212     44501     361183     451104
143270     44328     360218     452184
143285     44162     359293     453260
143464     44056     358131     454349
143594     43931     357075     455400
143714     43772     356019     456495
143723     43760     354991     457526
143915     43534     353915     458636
144081     43398     352853     459668
144194     43337     351710     460759
144258     43269     350624     461849
144294     43238     349594     462874
144366     43160     348569     463905
144430     43076     347579     464915
144419     42975     346623     465983
144196     43002     345787     467015
144117     42992     344780     468111
144239     42932     343707     469122
144290     42769     342773     470168
144353     42582     341811     471254
144358     42387     340934     472321
144355     42344     339971     473330
144268     42417     339026     474289
144204     42393     338088     475315
144134     42320     337264     476282
143996     42235     336459     477310
144007     42223     335417     478353
144075     41985     334542     479398
143913     42033     333620     480434
144039     41802     332708     481451
144132     41510     331829     482529
144220     41502     330760     483518
144187     41495     329823     484495
144192     41254     329009     485545
144123     41130     328201     486546
144090     41082     327316     487512
144050     40995     326415     488540
144060     40918     325511     489511
144091     40913     324499     490497
144130     40754     323615     491501
144124     40540     322822     492514
144185     40433     321898     493484
144180     40334     321035     494451
144102     40382     320098     495418
144179     40254     319134     496433
144309     40026     318210     497455
144229     39937     317471     498363
144192     39779     316649     499380
144216     39631     315832     500321
144323     39528     314865     501284
144249     39521     313978     502252
144390     39271     313101     503238
144424     39207     312151     504218
144464     39056     311275     505205
144533     38983     310360     506124
144476     38864     309578     507082
144555     38724     308676     508045
144543     38714     307758     508985
144438     38777     306915     509870
144294     38779     306124     510803
144166     38745     305350     511739
144114     38688     304561     512637
143848     38701     303838     513613
143835     38499     303095     514571
143922     38249     302293     515536
143908     38151     301470     516471
143903     38153     300544     517400
143884     38018     299804     518294
143792     38039     298956     519213
143713     38088     298107     520092
143569     37992     297454     520985
143587     37885     296599     521929
143521     37857     295744     522878
143489     37892     294850     523769
143526     37817     293922     524735
143477     37734     293082     525707
143491     37629     292245     526635
143432     37522     291498     527548
143224     37557     290761     528458
143129     37425     290046     529400
142978     37413     289303     530306
142849     37297     288573     531281
142730     37281     287815     532174
142676     37266     286970     533088
142699     37044     286257     534000
142580     36865     285639     534916
142671     36640     284917     535772
142662     36521     284111     536706
142725     36470     283252     537553
142703     36364     282481     538452
142595     36304     281791     539310
142552     36283     281017     540148
